Site;ID_SITE;STATION;ADRESSE;CP;LOCALITE;EXPLOITANT;TYPE;Lat;Lng;CA_TOT
0013;0013;WINDHOF;Carrefour du Windhof;8399;Windhof;JOHANNS & Cie. s.à.r.l.;DODO;49.6524898;5.9550354;9139421.9
0032;0032;MARTELANGE 24;24, Route d' Arlon;8832;Martelange;YOLANDE s.à r.l.;CODO;49.8103675;5.7603798;4893148.7
0033;0033;BASCHARAGE;2, Avenue de Luxembourg;4940;Bascharage;MOTORWAY s.a.;COCO;49.567548;5.9116022;4299027
0102;0102;BERTRANGE;28, rue de l'Industrie;8069;Bertrange;MOTORWAY s.a.;COCO;49.6108096;6.0721405;3463847.7
0047;0047;LIVANGE;Zone Industrielle Livange;3378;Livange;DIEDERICH & SINNER s.à.r.l.;DODO;49.529543;6.1188133;2845603.7
3021;3021;GASPERICH;312, Route d'Esch;1471;Luxembourg;MOTORWAY s.a.;COCO;49.5890854;6.1159925;2832024.8
0001;0001;FRISANGE 40;40, Rue Robert Schuman;5751;Frisange;TOTAL HOWALD s.a.;CODO;49.5080986;6.1921291;2806275.3
3007;3007;RODANGE 369;369, Route de Longwy;4831;Rodange;MOTORWAY s.a.;COCO;49.5443558;5.821146;2393753.8
3013;3013;STRASSEN;4, Route d'Arlon;8008;Strassen;MOTORWAY s.a.;COCO;49.6172234;6.0954317;2107327.2
0002;0002;RODANGE 412;412, Route de Longwy;4832;Rodange;MOTORWAY s.a.;COCO;49.5444998;5.8207426;1990544.6
4012;4012;ECHTERNACH;z.a. Schmatzacht;6474;Echternach;MOTORWAY s.a.;COCO;49.8049933;6.3997291;1492124.5
4011;4011;MERSCH;route de Colmar-Berg;7525;Mersch;PETROLIANA  Luxembourg s.a.;DODO;49.7541954;6.1016097;1239745.5
0062;0062;ESCH-SUR-ALZETTE;66, Route de Belvaux;4025;Esch/Alzette;M. & Mme. PAZOS;CODO;49.5021011;5.9736478;1154720.6
3005;3005;MARTELANGE 10;10, Route d' Arlon;8832;Martelange;ARS EXPLOITATION s.a.;CODO;49.8103659;5.7623714;1117945.2
0066;0066;WASSERBILLIG;Autoroute E44  B.P. 74;6601;Wasserbillig;MOTORWAY s.a.;COCO;49.6376243;6.1838101;1105785.2
3017;3017;PULVERMUHLE;200, Boulevard Patton;2316;Luxembourg;GUY WEIMERSKIRCH;DODO;49.6083548;6.1506877;969214.27
0098;0098;INGELDORF;2, route d'Ettelbruck;9160;Ingeldorf;MOTORWAY s.a.;COCO;49.8536079;6.1318711;910551.72
4002;4002;LORENTZWEILER;33, route de Luxembourg;7372;Lorentzweiler;MOTORWAY s.a.;COCO;49.707294;6.1367583;875319.91
0043;0043;WEMPERHARDT;6, op der Haart;9999;Wemperhardt;PROFILUX s.a.;CODO;50.1565663;6.0497407;871623.87
3025;3025;DUDELANGE;99, route de Volmerange;3593;Dudelange;MOTORWAY s.a.;COCO;49.4641269;6.08257;869395.5
0006;0006;HESPERANGE;235A, Route de Thionville;5885;Hesperange/Howald;TOTAL HOWALD s.a.;CODO;49.5744603;6.1536059;846308.3
0044;0044;MERTERT;48, route de Wasserbillig;6686;Mertert;MOTORWAY s.a.;COCO;49.7098399;6.4919235;846202.95
1104;1104;REMICH 10;10, route de l'Europe;5531;Remich;GRENZTANKSTELLE REMICH s.à.r.l.;CODO;49.5470039;6.3639216;811502.15
3002;3002;BONNEVOIE;119, Route de Thionville;2611;Luxembourg;REULAND s.à.r.l.;CODO;49.593142;6.1392333;763052.77
0097;0097;POMMERLOCH;15, rue du Village;9638;Pommerloch;PALL CENTER S.à r.l.;DODO;49.95974;5.85999;759519.38
0003;0003;MONDORF LES BAINS;2, Route de Luxembourg;5634;Mondorf;JOHANNS & Cie. s.à.r.l.;CODO;49.5048153;6.2695563;718507.14
3004;3004;DONCOLS;7, Rue Bohey;9647;Doncols;ARS EXPLOITATION s.a.;DODO;49.9752914;5.8441517;529976.43
3009;3009;OBERPALLEN 30;30, ArelerStrooss;8552;Oberpallen;JOHANNS & Cie. s.à.r.l.;CODO;49.726094;5.8401346;494194.24
3012;3012;REMICH  11;11, Route de l'Europe;5531;Remich;GRENZTANKSTELLE REMICH s.à.r.l.;CODO;49.547174;6.3615782;444147.97
1101;1101;RUMELANGE 32;32, rue des Martyrs;3739;Rumelange;RUSTA s.à.r.l.;COCO;49.4585052;6.0308264;442548.32
3020;3020;BERELDANGE;113, Route de Luxembourg;7241;Bereldange;MOTORWAY s.a.;COCO;49.6503531;6.1279241;382243.1
3034;3034;WINCRANGE;Maison 52;9780;Wincrange;RESTO-RIAL s.à.r.l.;DODO;50.0403041;6.0153158;378293.89
0067;0067;MARNACH;9, Marburgerstroos;9764;Marnach;ORLY s.a.;DODO;50.05315;6.06101;356395.51
0056;0056;SCHENGEN 76;76, Route du Vin;5444;Schengen;MOTORWAY s.a.;COCO;49.4718449;6.3656789;341126.4
1102;1102;RUMELANGE 77;77, rue des Martyrs;3739;Rumelange;WARU s.à.r.l.;COCO;49.4521179;6.0263529;321877.31
0096;0096;PALL-CENTER;2, route d'Arlon;8552;Oberpallen;PALL CENTER S.à r.l.;DODO;49.7275276;5.841036;279423.77
3014;3014;SCHENGEN 102;102, Route du Vin;5445;Schengen;MOTORWAY s.a.;COCO;49.509374;6.3561916;175646.26
3022;3022;ROSPORT;Rue Neuve;6581;Rosport;MOTORWAY s.a.;COCO;49.8026899;6.5066072;152680.59
4010;4010;TROISVIERGES;31B, route de Wilwerdange;9911;Troisvierges;Mazout Berens s.a.;DODO;50.1243947;6.0014629;63489.91
